TAXID,SAMPLE,SEQUENCE_ID,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,COVERAGE_PCT,IDENTITY_PCT,DATABASE,ACCESSION,PRODUCT,RESISTANCE,NAME
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",2396,3925,"-","emrB","1-1539/1539","========/======","7/15",99.22,96.24,"card","U00096.1:2812615-2814154","emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.","fluoroquinolone","Cellvibrio"
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",5250,5784,"-","emrR","1-531/531","========/======","3/6",99.81,96.27,"card","U00096.3:2810769-2811300","EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.","fluoroquinolone","Cellvibrio"
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",5250,5784,"-","emrR","1-531/531","========/======","3/6",99.81,96.27,"card","U00096.3:2810769-2811300","EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.","fluoroquinolone","Cellvibrio"
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",2396,3925,"-","emrB","1-1539/1539","========/======","7/15",99.22,96.24,"card","U00096.1:2812615-2814154","emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.","fluoroquinolone","Cellvibrio"
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",3946,5119,"-","emrA","1-1169/1173","========/======","3/5",99.66,96.93,"card","AP009048.1:2810082-2811255","EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.","fluoroquinolone","Cellvibrio"
10,"D36","11e39f31-14b1-45f0-b196-0433b1a600d5",3946,5119,"-","emrA","1-1169/1173","========/======","3/5",99.66,96.93,"card","AP009048.1:2810082-2811255","EmrA is a membrane fusion protein providing an efflux pathway with EmrB and TolC between the inner and outer membranes of E. coli a Gram-negative bacterium.","fluoroquinolone","Cellvibrio"
1002672,"D21","7486cd55-36c6-4419-8394-04aa5d3776a0",7058,7551,"+","lnuC","1-495/495","========/======","1/1",99.8,98.99,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Candidatus Pelagibacter sp. IMCC9063"
1002672,"D21","7486cd55-36c6-4419-8394-04aa5d3776a0",7058,7551,"+","lnuC","1-495/495","========/======","1/1",99.8,98.99,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Candidatus Pelagibacter sp. IMCC9063"
1076596,"D31","f2fd6bb3-49c3-4dfb-830d-d1e06ad99393",4117,4609,"+","lnuC","1-495/495","========/======","7/12",98.59,94.8,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Acetobacter persici"
1076596,"D31","f2fd6bb3-49c3-4dfb-830d-d1e06ad99393",4117,4609,"+","lnuC","1-495/495","========/======","7/12",98.59,94.8,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Acetobacter persici"
